Parkplatz;12:30;12:45;13:00;13:15;13:30;13:45;14:00;14:15;14:30
1;I-7009AU;I-7009AU;I-7009AU;I-7009AU;I-7009AU;I-7009AU;I-7009AU;I-7009AU;I-7009AU
2;I-6455AT;I-6455AT;IL-900BI;leer;leer;IL-498RP;leer;leer;leer
3;leer;I-3467AX;I-3467AX;I-3467AX;I-3467AX;I-3467AX;I-3467AX;I-3467AX;I-3467AX
4;I-7985AT;I-7985AT;I-7985AT;I-7985AT;I-7985AT;I-7985AT;I-7985AT;I-7985AT;I-7985AT
5;I-6242AS;I-6242AS;I-6242AS;I-6242AS;I-6242AS;I-6242AS;I-6242AS;I-6242AS;I-6242AS
6;I-2110A2;I-2110A3;I-2110A4;I-2110A5;I-2110A6;I-2110A7;I-2110A8;I-2110A9;I-2110A10
7;leer;leer;leer;leer;leer;leer;I-7629AR;leer;leer
8;WM-JH107;WM-JH108;WM-JH109;WM-JH110;WM-JH111;WM-JH112;WM-JH113;WM-JH114;WM-JH115
9;I-2438PM;I-2438PM;I-2438PM;I-2438PM;I-2438PM;I-2438PM;I-2438PM;I-2438PM;I-2438PM
10;I-1947AW;I-1947AW;I-1947AW;I-1947AW;I-1947AW;I-1947AW;I-1947AW;I-1947AW;I-1947AW
11;I-6410AO;I-6410AO;I-6410AO;I-6410AO;I-6410AO;I-6410AO;I-6410AO;I-6410AO;I-6410AO
12;leer;leer;leer;leer;leer;leer;leer;I-7998J;I-7998J
13;IL-150FG;IL-150FG;IL-150FG;IL-150FG;IL-150FG;IL-150FG;IL-150FG;IL-150FG;IL-150FG
14;leer;leer;leer;leer;leer;leer;leer;leer;leer
15;IM-4000;IM-4001;leer;SZ-971Dl;SZ-971Dl;SZ-971Dl;SZ-971Dl;SZ-971Dl;SZ-971Dl
16;I-3388AL;I-3388AL;I-3388AL;I-3388AL;I-3388AL;I-3388AL;I-3388AL;I-3388AL;I-3388AL
17;IL-100PM;IL-100PM;IL-100PM;IL-100PM;IL-100PM;IL-100PM;IL-100PM;IL-100PM;IL-100PM
18;IL-249ER;L-65TOA;leer;leer;leer;I-6094AW;I-6094AW;MY-LU2ST;leer
19;leer;leer;leer;leer;leer;leer;leer;leer;leer
20;I-3678AW;I-3678AW;I-3678AW;I-3678AW;I-3678AW;I-3678AW;I-3678AW;I-3678AW;I-3678AW
21;I-4723AX;I-4723AX;I-4723AX;I-4723AX;I-4723AX;I-4723AX;I-4723AX;I-4723AX;I-4723AX
22;leer;I-1704AW;I-1704AW;I-1704AW;SL-984TP;SL-984TP;SL-984TP;SL-984TP;SL-984TP
23;I-4948AU;I-4948AU;I-4948AU;I-4948AU;I-4948AU;I-4948AU;I-4948AU;I-4948AU;I-4948AU
24;I-5713AN;I-5713AN;I-5713AN;I-5713AN;I-5713AN;I-5713AN;I-5713AN;I-5713AN;I-5713AN
25;leer;leer;leer;leer;leer;I-342SAX;I-342SAX;I-342SAX;I-342SAX
26;I-1666AR;I-1666AR;I-1666AR;I-1666AR;I-1666AR;I-1666AR;I-1666AR;I-1666AR;I-1666AR
27;leer;leer;leer;leer;I-5103AW;I-5103AW;I-5103AW;I-5103AW;I-5103AW
28;IL-856EU;IL-856EU;IL-856EU;IL-856EU;IL-856EU;IL-856EU;IL-856EU;IL-856EU;IL-856EU
29;leer;leer;leer;I-6730AX;I-6730AX;I-6730AX;I-6730AX;I-6730AX;I-6730AX
30;I-1760B;I-1760B;I-1760B;I-1760B;I-1760B;I-1760B;I-1760B;I-1760B;I-1760B
